name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Raleigh, NC",2023-07-18,92.6,69.4,81.1,99.5,69.4,84.2,69.8,71.2,0,0,0,,0,0,10.3,6.9,260.4,1016.4,15.7,6.4,277,24,9,30,2023-07-18T06:11:56,2023-07-18T20:29:28,0.03,Clear,Clear conditions throughout the day.,clear-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-19,87.4,76.1,81.6,96.6,76.1,85.4,73.9,78.1,0.588,100,12.5,rain,0,0,19.7,9.7,236.8,1016.8,68.7,8.6,193.9,16.6,8,60,2023-07-19T06:12:37,2023-07-19T20:28:54,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-20,88.8,72.6,81.7,95.7,72.6,85.2,72.2,74.4,0,0,0,,0,0,9.2,8.5,253,1015.3,54.1,9.6,222.8,19,8,30,2023-07-20T06:13:19,2023-07-20T20:28:18,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-21,92.8,74.6,83.1,97.9,74.6,85,68.9,64.8,0.012,100,4.17,rain,0,0,19.7,11.1,300.7,1009.6,56.4,9.9,264.1,22.8,10,30,2023-07-21T06:14:02,2023-07-21T20:27:41,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-22,83,71.9,77.1,85.7,71.9,78.1,66.7,70.9,0,0,0,,0,0,10.3,8.9,32,1010.5,76.2,9.9,144.9,12.5,6,10,2023-07-22T06:14:45,2023-07-22T20:27:03,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-23,89.8,68,79,92.9,68,80.4,67.5,70.7,0.011,100,4.17,rain,0,0,26.4,13.6,140.7,1014.4,59.4,9.8,315.4,27.3,10,10,2023-07-23T06:15:28,2023-07-23T20:26:22,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-24,89,71.1,78.8,97,71.1,80.9,70.8,78.2,0.77,100,8.33,rain,0,0,13.9,10,141.8,1017.4,69.2,9.6,249.8,21.5,10,30,2023-07-24T06:16:12,2023-07-24T20:25:40,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-25,93.5,71,82.4,98,71,85.3,69.9,68.6,0,0,0,,0,0,10.3,9.9,230.6,1018.5,51.4,9.9,291.7,25.1,10,30,2023-07-25T06:16:57,2023-07-25T20:24:57,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-26,95.9,73,84.6,102.1,73,88,70.4,65.4,0,0,0,,0,0,11.4,6.9,211.6,1018.9,46.6,9.7,257.7,22.1,10,60,2023-07-26T06:17:41,2023-07-26T20:24:12,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-27,95.2,76.5,85.6,105.5,76.5,91.2,73,67.6,0,0,0,,0,0,19.7,13.8,219.1,1018.9,34.5,9.7,310,26.8,10,60,2023-07-27T06:18:26,2023-07-27T20:23:26,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
